crossing time (s)	slope (V/s)	crossing number
10850.181101	4.751313	9575
10851.130883	4.691620	9576
10852.210308	4.733622	9577
10853.162678	4.387269	9578
10854.242874	4.808661	9579
10855.196468	4.490795	9580
10856.277647	4.831407	9581
10857.230706	4.511292	9582
10858.309545	4.960027	9583
10859.265891	4.613370	9584
10860.342408	4.999784	9585
10861.299200	4.678529	9586
10862.376384	5.058029	9587
10863.332050	4.676462	9588
10864.410297	5.016708	9589
10865.365171	4.699935	9590
10866.442362	4.995802	9591
10867.398641	4.745285	9592
10868.475381	5.108452	9593
10869.431092	4.710058	9594
10870.509998	5.204952	9595
10871.463738	4.797180	9596
10872.542265	5.167923	9597
10873.497024	4.841655	9598
10874.576136	5.179323	9599
10875.531024	4.902871	9600
10876.609619	5.000013	9601
10877.564200	4.931849	9602
10878.643043	5.079370	9603
10879.597238	4.918186	9604
10880.677314	5.125370	9605
10881.628748	4.990554	9606
10882.711815	5.097618	9607
10883.661006	5.005124	9608
10884.744533	5.076977	9609
10885.693567	5.162143	9610
10886.778910	5.032074	9611
10887.723944	5.009593	9612
10888.814070	5.053666	9613
10889.755922	5.079448	9614
10890.848952	5.054159	9615
10891.786757	5.175264	9616
10892.883587	5.192281	9617
10893.819201	5.224377	9618
10894.915841	5.398974	9619
10895.851066	5.216907	9620
10896.951125	5.516455	9621
10897.883210	5.264663	9622
10898.984850	5.642932	9623
10899.915622	5.261577	9624
10901.017198	5.735730	9625
10901.949416	5.305683	9626
10903.050268	5.622450	9627
10903.982140	5.409854	9628
10905.082958	5.678529	9629
10906.015031	5.426418	9630
10907.114010	5.733543	9631
10908.049116	5.393271	9632
10909.146584	5.558207	9633
10910.082433	5.477453	9634
10911.178851	5.701110	9635
10912.117462	5.593812	9636
10913.210583	5.387383	9637
10914.150036	5.215448	9638
10915.242305	5.715777	9639
10916.186260	5.554910	9640
10917.274287	5.485598	9641
10918.219925	5.346742	9642
10919.304097	5.402733	9643
10920.253436	5.477829	9644
10921.335120	5.412851	9645
10922.289199	5.373257	9646
10923.366208	5.431645	9647
10924.321673	5.290090	9648
10925.397793	5.563598	9649
10926.353924	5.282020	9650
10927.428777	5.512525	9651
10928.387487	5.411723	9652
10929.460128	5.558190	9653
10930.419837	5.390019	9654
10931.492913	5.705328	9655
10932.453087	5.406835	9656
10933.526422	5.792850	9657
10934.485675	5.435332	9658
10935.557870	5.697865	9659
10936.518503	5.378483	9660
10937.590903	5.758295	9661
10938.550707	5.390601	9662
10939.624300	5.766815	9663
10940.583816	5.329018	9664
10941.655711	5.876450	9665
10942.615493	5.275773	9666
10943.689303	5.813258	9667
10944.647117	5.415571	9668
10945.721766	5.673709	9669
10946.680615	5.386726	9670
10947.755886	5.636837	9671
10948.712579	5.393194	9672
10949.787570	5.708914	9673
10950.743301	5.618739	9674
10951.821325	5.620248	9675
10952.775449	5.499881	9676
10953.853117	5.714662	9677
10954.806856	5.749002	9678
10955.887783	5.521099	9679
10956.839102	5.598847	9680
10957.921465	5.568317	9681
10958.871426	5.554760	9682
10959.955147	5.588041	9683
10960.902933	5.570123	9684
10961.988166	5.392008	9685
10962.934590	5.519970	9686
10964.022509	5.500063	9687
10964.966160	5.574363	9688
10966.055423	5.678365	9689
10966.997183	5.572317	9690
10968.089410	5.673031	9691
10969.029073	5.570129	9692
10970.123483	5.788462	9693
10971.060757	5.681893	9694
10972.157191	5.926119	9695
10973.093121	5.802799	9696
10974.190051	5.907361	9697
10975.124944	5.742497	9698
10976.222555	5.844248	9699
10977.157892	5.827366	9700
10978.254494	5.901381	9701
10979.191435	5.752992	9702
10980.286505	5.779910	9703
10981.224466	5.669098	9704
10982.317777	5.930545	9705
10983.258529	5.690387	9706
10984.344643	6.397519	9707
10985.292187	5.747406	9708
10986.380642	5.888650	9709
10987.326042	5.770146	9710
10988.410503	5.904657	9711
10989.358910	5.687369	9712
10990.443266	5.462165	9713
10991.392461	5.451483	9714
10992.476153	5.827175	9715
10993.426574	5.340025	9716
