time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
11337.229030	282.037170	0.836674	-0.100000	75
11339.265674	277.802917	0.843746	-0.100000	77
11341.300381	273.904144	0.822730	-0.100000	79
11343.333242	274.231903	0.825535	-0.100000	81
11345.363075	274.521088	0.818252	-0.100000	83
11347.390585	275.019958	0.805180	-0.100000	85
11349.418282	282.565857	0.790230	-0.100000	87
11351.446598	283.286438	0.766441	-0.100000	89
11353.476408	288.473083	0.806330	-0.100000	91
11355.507372	282.139435	0.825402	-0.100000	93
11357.538817	279.958923	0.789554	-0.100000	95
11359.571188	280.981689	0.777185	-0.100000	97
11361.604481	281.570465	0.785461	-0.100000	99
11363.638884	273.112244	0.766132	-0.100000	101
11365.673828	273.282684	0.774065	-0.100000	103
11367.710111	275.486511	0.822800	-0.056825	105
11369.746412	275.409332	0.833712	-0.051863	107
11371.782238	275.034088	0.842829	-0.047848	109
11373.816323	272.769592	0.814730	-0.100000	111
11375.848202	274.713348	0.852127	-0.040421	113
11377.878292	274.672852	0.844525	-0.037639	115
11379.905498	274.596924	0.832850	-0.034924	117
11381.931932	274.495300	0.813819	-0.032538	119
11383.959235	274.653748	0.796817	-0.028874	121
11385.987889	275.114685	0.783286	-0.024716	123
11388.018220	272.793365	0.764205	-0.100000	125
11390.049371	276.144531	0.766353	-0.015874	127
11392.081677	276.675354	0.764484	-0.010910	129
11394.114063	277.051636	0.764516	-0.006291	131
11396.146731	91.611885	-0.760553	-0.005126	133
11398.179439	91.226410	-0.759687	-0.007205	135
11400.211715	282.654297	0.730549	0.036901	137
11402.245587	282.542633	0.733943	0.038760	139
11404.280333	277.602112	0.776350	0.015121	141
11406.316801	277.167633	0.786899	0.018433	143
11408.353170	269.821136	0.767160	0.100000	145
11410.390955	276.428680	0.815853	0.025828	147
11412.427507	270.754547	0.794198	0.100000	149
11414.461302	275.999298	0.838209	0.032705	151
11416.493796	276.139313	0.838656	0.034832	153
11418.525471	271.290131	0.800044	0.100000	155
11420.555419	82.864021	-0.776976	-0.100000	157
11422.584858	92.232033	-0.789039	-0.100000	159
11424.613841	99.049706	-0.808795	-0.042809	161
11426.643744	98.588562	-0.709666	-0.100000	163
11428.674538	95.854706	-0.699545	-0.100000	165
11430.706121	85.542755	-0.709388	-0.100000	167
11432.738859	83.530556	-0.749855	-0.100000	169
11434.772045	90.045174	-0.706708	-0.100000	171
11436.806243	100.614777	-0.798773	-0.055368	173
11438.839828	83.453415	-0.742680	-0.100000	175
11440.874487	93.600243	-0.690419	-0.100000	177
11442.909738	90.405106	-0.708574	-0.100000	179
11444.943631	94.144737	-0.788038	-0.100000	181
11446.976712	91.321930	-0.784148	-0.100000	183
11449.008404	100.305481	-0.819629	-0.064830	185
11451.037931	280.724609	0.812355	0.066233	187
11453.066247	98.212212	-0.790023	-0.063124	189
