time (s)	det(V)
11501.797191	0.197486	
11501.798828	0.203396	
11501.800428	0.209221	
11501.802097	0.218228	
11501.803584	0.224041	
11501.805326	0.231304	
11501.806800	0.238829	
11501.808512	0.247901	
11501.810021	0.252312	
11501.811786	0.260348	
11501.813287	0.267881	
11501.815046	0.275072	
11501.816535	0.280256	
11501.818321	0.288720	
11501.819797	0.295475	
11501.821584	0.301719	
11501.823058	0.307693	
11501.824865	0.317140	
11501.826349	0.321804	
11501.828122	0.327899	
11501.829611	0.335271	
11501.831359	0.341414	
11501.832882	0.346115	
11501.834611	0.352440	
11501.836139	0.358329	
11501.837878	0.363530	
11501.839421	0.368215	
11501.841139	0.376235	
11501.842679	0.381709	
11501.844380	0.386934	
11501.845937	0.392554	
11501.847611	0.397956	
11501.849181	0.401460	
11501.850843	0.405227	
11501.852426	0.411330	
11501.854075	0.415028	
11501.855672	0.418851	
11501.857287	0.422170	
11501.858907	0.424466	
11501.860508	0.425844	
11501.862186	0.429542	
11501.863802	0.434170	
11501.865441	0.436934	
11501.867031	0.439125	
11501.868710	0.442916	
11501.870270	0.446126	
11501.871961	0.448350	
11501.873506	0.451238	
11501.875199	0.455984	
11501.876752	0.456979	
11501.878446	0.459122	
11501.879957	0.461374	
11501.881700	0.461627	
11501.883190	0.462558	
11501.884978	0.464894	
11501.886460	0.465740	
11501.888246	0.466937	
11501.889725	0.468282	
11501.891500	0.470808	
11501.892979	0.470852	
11501.894747	0.470957	
11501.896257	0.470945	
11501.898013	0.471984	
11501.899522	0.470925	
11501.901250	0.470425	
11501.902767	0.470530	
11501.904483	0.469555	
11501.906022	0.469229	
11501.907708	0.469664	
11501.909256	0.468600	
11501.910938	0.467122	
11501.912509	0.466558	
11501.914190	0.465055	
11501.915765	0.462139	
11501.917434	0.460350	
11501.919028	0.458618	
11501.920689	0.456463	
11501.922301	0.453470	
11501.923916	0.452552	
11501.925552	0.450578	
11501.927171	0.447085	
11501.928813	0.444229	
11501.930394	0.441647	
11501.932050	0.436966	
11501.933618	0.432378	
11501.935301	0.429759	
11501.936844	0.426327	
11501.938557	0.423350	
11501.940101	0.421755	
11501.941814	0.421288	
11501.943332	0.417533	
11501.945057	0.413308	
