time (s)	magX	magY	magZ
4010.548189	-273.828186	-502.253662	878.372864
4010.551522	-277.393341	-504.766785	863.761536
4010.554856	-277.276459	-504.299255	850.377563
4010.558180	-280.607849	-507.338409	838.396240
4010.561529	-280.607849	-507.805969	822.031494
4010.564882	-282.127411	-506.578613	807.595520
4010.568259	-283.062531	-506.929291	798.478027
4010.571540	-283.880798	-507.981293	782.464050
4010.574895	-285.400360	-509.500885	771.359375
4010.578185	-284.406799	-507.805969	758.150757
4010.581524	-285.049683	-508.916412	745.351196
4010.584853	-286.393951	-507.338409	735.064819
4010.588191	-285.634155	-507.689087	720.921082
4010.591514	-286.160156	-506.929291	710.576233
4010.594846	-285.575714	-505.409698	698.828735
4010.598185	-286.452362	-504.825256	686.379883
4010.601534	-286.160156	-505.585052	672.119202
4010.604877	-285.341919	-502.954987	662.066589
4010.608205	-286.861511	-503.247192	651.137329
4010.611143	-285.400360	-499.974274	640.500244
4010.614850	-285.400360	-499.974274	627.817627
4010.617768	-285.575714	-497.285797	616.362366
4010.621091	-285.283478	-497.402710	606.543518
4010.624420	-285.926361	-493.662201	595.205139
4010.627757	-284.582123	-491.908813	583.866699
4010.631084	-283.763885	-489.863251	572.762085
4010.634420	-284.991241	-489.395660	564.521301
4010.637756	-282.828766	-484.778503	553.533569
4010.641085	-283.530090	-484.895355	545.234375
4010.644420	-281.367645	-480.219727	532.726990
4010.647754	-281.835205	-479.343079	523.317322
4010.651083	-281.075409	-476.771484	513.849182
4010.654447	-279.964966	-474.024567	504.322601
4010.657755	-279.205170	-472.388062	494.971344
4010.661089	-277.042694	-468.589142	486.905884
4010.664414	-276.808899	-466.368195	478.665100
4010.667755	-277.568695	-464.264191	472.411469
4010.671085	-275.581543	-462.510803	459.904144
4010.674415	-274.938629	-460.289886	452.481598
4010.677747	-272.600830	-456.490936	445.818848
4010.681087	-272.074829	-454.971344	439.331390
4010.684416	-271.373474	-453.568695	432.201050
4010.687751	-269.678558	-450.003510	423.317383
4010.691079	-269.503235	-447.841003	417.531281
4010.694417	-267.749878	-446.672150	411.336090
4010.697790	-266.756317	-444.977234	405.491516
4010.701077	-266.113373	-441.704254	399.062531
4010.704422	-264.886047	-440.243134	393.101105
4010.707744	-264.535370	-438.898895	387.841034
4010.711082	-262.314453	-435.918182	383.048523
4010.714411	-261.729980	-434.983063	378.372864
4010.717746	-260.151947	-432.878998	373.814148
4010.721075	-259.392181	-428.729370	367.618927
4010.724409	-258.398621	-428.378723	362.709534
4010.727745	-257.346588	-426.800720	359.553467
4010.731075	-256.469910	-425.222687	353.650513
4010.734413	-255.359436	-422.417297	348.390411
4010.737745	-255.417892	-422.066620	344.766785
4010.741089	-253.606079	-418.618347	340.909424
4010.744437	-251.969620	-416.397430	336.175323
4010.747746	-251.677383	-414.351837	332.434845
4010.751078	-251.677383	-413.475159	327.934540
4010.754409	-249.631775	-410.728241	324.252472
4010.757739	-248.170654	-409.793091	320.453522
4010.761079	-248.053757	-407.279968	316.888367
4010.764404	-247.177094	-406.344818	314.316772
