crossing time (s)	slope (V/s)	crossing number
4010.381981	4.016991	3387
4011.408226	4.131375	3388
4012.435750	4.138566	3389
4013.460763	3.957530	3390
4014.483639	3.892994	3391
4015.508689	3.747525	3392
4016.533752	3.773844	3393
4017.566990	3.657472	3394
4018.597225	4.047483	3395
4019.631337	3.544110	3396
4020.658254	3.943579	3397
4021.693404	3.592906	3398
4022.716058	3.742691	3399
4023.751378	3.640929	3400
4024.774777	3.655272	3401
4025.809449	3.762434	3402
4026.836304	3.768552	3403
4027.868197	3.872209	3404
4028.891351	3.992536	3405
4029.920587	4.032270	3406
4030.949306	4.272194	3407
4031.979305	4.555986	3408
4033.008025	4.662866	3409
4034.037214	4.836702	3410
4035.068706	4.959131	3411
4036.092361	5.199652	3412
4037.126614	5.138607	3413
4038.145450	4.977800	3414
4039.183143	5.338366	3415
4040.199729	4.625352	3416
4041.237592	4.888594	3417
4042.256979	4.336316	3418
4043.294337	4.525629	3419
4044.316595	4.372057	3420
4045.360115	4.786414	3421
4046.372363	4.727884	3422
4047.418079	5.399874	3423
4048.432337	5.096007	3424
4049.474598	5.933184	3425
4050.494146	5.297976	3426
4051.531984	6.041975	3427
4052.549924	5.431699	3428
4053.584811	6.001904	3429
4054.610298	5.483338	3430
4055.644191	5.979176	3431
4056.667185	5.600442	3432
4057.700793	6.001325	3433
4058.725186	5.796450	3434
4059.758465	6.107767	3435
4060.780723	5.977951	3436
4061.815232	6.090455	3437
4062.835663	6.135328	3438
4063.872724	6.153284	3439
4064.892641	6.155991	3440
4065.932362	6.089280	3441
4066.947285	5.986799	3442
4067.987514	5.885019	3443
4069.005213	5.820386	3444
4070.042450	5.583200	3445
4071.062405	5.415555	3446
4072.099563	5.536739	3447
4073.118699	5.379932	3448
4074.158681	5.802780	3449
4075.176207	5.737412	3450
4076.215302	6.378525	3451
4077.238720	6.313337	3452
4078.270688	6.643073	3453
4079.294165	6.590762	3454
4080.325994	6.597966	3455
4081.353687	6.521562	3456
4082.381446	6.332655	3457
4083.409838	6.254856	3458
4084.439139	5.988859	3459
4085.467385	5.982964	3460
4086.493265	5.898124	3461
4087.528793	5.977115	3462
4088.553748	5.992155	3463
4089.582845	6.045180	3464
4090.610395	6.015532	3465
4091.641236	6.340292	3466
4092.667562	6.377111	3467
4093.698189	6.457451	3468
4094.724311	6.582514	3469
4095.753747	6.677333	3470
4096.782118	6.632010	3471
4097.811494	6.693713	3472
4098.837118	6.737229	3473
4099.867983	6.720376	3474
4100.895528	6.784843	3475
4101.924471	6.807574	3476
4102.950313	6.763984	3477
4103.979956	6.776462	3478
4105.008258	6.961619	3479
4106.038757	7.059990	3480
4107.064843	7.253156	3481
4108.096523	7.416284	3482
4109.122524	7.572556	3483
4110.151299	7.816291	3484
4111.180136	7.897021	3485
4112.205284	7.974588	3486
4113.239970	8.022927	3487
4114.261182	7.749147	3488
4115.295437	7.646630	3489
4116.313698	7.245150	3490
4117.352701	7.363234	3491
4118.369237	6.949760	3492
4119.408043	7.237859	3493
4120.429254	7.205215	3494
4121.470109	7.521473	3495
4122.485837	7.597131	3496
4123.525146	8.019279	3497
4124.545314	8.083279	3498
4125.582761	8.263741	3499
4126.600217	7.819555	3500
4127.638559	8.429478	3501
4128.659806	8.274679	3502
4129.694358	8.555768	3503
4130.714829	8.315905	3504
4131.750044	8.637814	3505
4132.772523	8.522034	3506
4133.806781	8.702640	3507
4134.827933	8.664258	3508
4135.862644	8.805551	3509
4136.884388	8.742851	3510
4137.921668	8.758555	3511
4138.939783	8.706767	3512
4139.977871	8.665515	3513
4140.995831	8.606477	3514
4142.034425	8.541546	3515
4143.050783	8.237959	3516
4144.090309	8.278227	3517
4145.107754	7.875367	3518
4146.148124	8.101017	3519
4147.165705	7.800434	3520
4148.203908	8.067332	3521
4149.222455	8.014138	3522
4150.258772	8.265691	3523
4151.280736	8.460568	3524
4152.315510	8.814257	3525
4153.339135	8.818284	3526
4154.371691	9.031789	3527
