time (s)	det(V)
5351.902292	-0.108518	
5351.903900	-0.111801	
5351.905520	-0.114907	
5351.907159	-0.118274	
5351.908751	-0.119358	
5351.910433	-0.124627	
5351.911998	-0.128099	
5351.913710	-0.130392	
5351.915278	-0.133759	
5351.916975	-0.139012	
5351.918526	-0.140337	
5351.920210	-0.143947	
5351.921748	-0.148881	
5351.923496	-0.152926	
5351.925004	-0.154960	
5351.926760	-0.160838	
5351.928240	-0.164926	
5351.930006	-0.168826	
5351.931496	-0.172117	
5351.933265	-0.179074	
5351.934755	-0.181124	
5351.936540	-0.185712	
5351.938018	-0.189995	
5351.939785	-0.195868	
5351.941282	-0.197632	
5351.943042	-0.204263	
5351.944553	-0.209830	
5351.946266	-0.214736	
5351.947794	-0.218700	
5351.949514	-0.224924	
5351.951071	-0.228662	
5351.952754	-0.233001	
5351.954296	-0.238000	
5351.955965	-0.243668	
5351.957529	-0.248155	
5351.959197	-0.252969	
5351.960788	-0.258855	
5351.962416	-0.264172	
5351.964027	-0.268913	
5351.965664	-0.274291	
5351.967278	-0.280418	
5351.968910	-0.283524	
5351.970560	-0.288733	
5351.972165	-0.294199	
5351.973831	-0.299879	
5351.975419	-0.303376	
5351.977093	-0.310498	
5351.978665	-0.315859	
5351.980354	-0.320129	
5351.981910	-0.325322	
5351.983572	-0.331944	
5351.985130	-0.334813	
5351.986858	-0.339493	
5351.988387	-0.345020	
5351.990144	-0.351002	
5351.991631	-0.353818	
5351.993422	-0.361206	
5351.994896	-0.365960	
5351.996674	-0.370620	
5351.998161	-0.374850	
5351.999956	-0.382230	
5352.001432	-0.385159	
5352.003212	-0.389827	
5352.004695	-0.394657	
5352.006467	-0.400772	
5352.007964	-0.402730	
5352.009715	-0.409719	
5352.011217	-0.413184	
5352.012964	-0.414678	
5352.014501	-0.416757	
5352.016232	-0.423182	
5352.017756	-0.426791	
5352.019455	-0.430098	
5352.021009	-0.435255	
5352.022730	-0.440318	
5352.024292	-0.444165	
5352.025958	-0.448951	
5352.027533	-0.454184	
5352.029196	-0.458337	
5352.030780	-0.462051	
5352.032417	-0.466680	
5352.034002	-0.470901	
5352.035651	-0.473552	
5352.037273	-0.477963	
5352.038876	-0.482294	
5352.040545	-0.485975	
5352.042131	-0.487591	
5352.043799	-0.493307	
5352.045393	-0.496099	
5352.047037	-0.498209	
5352.048603	-0.501452	
5352.050310	-0.505706	
5352.051851	-0.506061	
5352.053551	-0.508393	
5352.055092	-0.511370	
5352.056815	-0.513340	
5352.058308	-0.512663	
5352.060065	-0.516264	
5352.061557	-0.517698	
5352.063337	-0.518113	
5352.064826	-0.517972	
5352.066615	-0.520361	
5352.068099	-0.518194	
5352.069864	-0.517296	
5352.071369	-0.517018	
5352.072860	-0.516804	
5352.074424	-0.514105	
5352.075953	-0.512965	
5352.077540	-0.512478	
5352.079024	-0.510278	
5352.080659	-0.507289	
5352.082179	-0.503881	
5352.083815	-0.502351	
5352.085285	-0.497537	
5352.086857	-0.493524	
5352.088354	-0.491220	
5352.089912	-0.487820	
5352.091430	-0.480420	
5352.093047	-0.477697	
5352.094564	-0.473620	
5352.096132	-0.468267	
5352.097699	-0.462381	
5352.099195	-0.457257	
5352.100843	-0.452105	
5352.102330	-0.444750	
5352.103962	-0.438292	
5352.105483	-0.433313	
5352.107118	-0.426521	
5352.108592	-0.418710	
5352.110245	-0.414731	
5352.111726	-0.412591	
5352.113358	-0.406295	
5352.114846	-0.398633	
5352.116448	-0.394267	
5352.117958	-0.385815	
5352.119526	-0.377807	
5352.121081	-0.370886	
5352.122597	-0.364123	
5352.124238	-0.356114	
5352.125722	-0.348444	
5352.127367	-0.342386	
5352.128885	-0.335268	
5352.130544	-0.326498	
5352.132026	-0.319586	
5352.133660	-0.313519	
5352.135140	-0.304391	
5352.136789	-0.296773	
5352.138289	-0.289865	
5352.139911	-0.282815	
5352.141425	-0.273183	
5352.143017	-0.268079	
5352.144545	-0.261755	
5352.146101	-0.254685	
5352.147676	-0.247229	
5352.149169	-0.240091	
5352.150822	-0.233408	
5352.152309	-0.225041	
5352.153937	-0.218052	
5352.155461	-0.212263	
5352.157088	-0.204202	
5352.158578	-0.196110	
5352.160225	-0.191159	
5352.161705	-0.184858	
5352.163345	-0.176951	
